English,Portuguese
angle,ângulo
ant,formiga
apple,maçã
arch,arco
arm,braço
army,exército
baby,bebê
bag,sacola
ball,bola
band,banda
basin,bacia
basket,cesta
bath,banho
bed,cama
bee,abelha
bell,sino
berry,fruta silvestre
bird,pássaro
blade,lâmina
board,quadro
boat,barco
bone,osso
book,livro
boot,bota
bottle,garrafa
box,caixa
boy,menino
brain,cérebro
brake,freio
branch,galho
brick,tijolo
bridge,ponte
brush,escova
bucket,balde
bulb,lâmpada
button,botão
cake,bolo
camera,câmera
card,cartão
cart,carrinho
carriage,carruagem
cat,gato
chain,corrente
cheese,queijo
chest,peito
chin,queixo
church,igreja
circle,círculo
clock,relógio
cloud,nuvem
coat,casaco
collar,colarinho
comb,pente
cord,fio
cow,vaca
cup,xícara
curtain,cortina
cushion,almofada
dog,cachorro
door,porta
drain,ralo
drawer,gaveta
dress,vestido
drop,gota
ear,orelha
egg,ovo
engine,motor
eye,olho
face,rosto
farm,fazenda
feather,pena
finger,dedo
fish,peixe
flag,bandeira
floor,chão
fly,mosca
foot,pé
fork,garfo
fowl,ave
frame,quadro
garden,jardim
girl,menina
glove,luva
goat,cabra
gun,arma
hair,cabelo
hammer,martelo
hand,mão
hat,chapéu
head,cabeça
heart,coração
hook,gancho
horn,chifre
horse,cavalo
hospital,hospital
house,casa
island,ilha
jewel,joia
kettle,chaleira
key,chave
knee,joelho
knife,faca
knot,nó
leaf,folha
leg,perna
library,biblioteca
line,linha
lip,lábio
lock,cadeado
map,mapa
match,fósforo
monkey,macaco
moon,lua
mouth,boca
muscle,músculo
nail,unha
neck,pescoço
needle,agulha
nerve,nervo
net,rede
nose,nariz
nut,noz
office,escritório
orange,laranja
oven,forno
parcel,pacote
pen,caneta
pencil,lápis
picture,imagem
pig,porco
pin,alfinete
pipe,cano
plane,avião
plate,prato
plough,arado
pocket,bolso
pot,panela
potato,batata
prison,prisão
pump,bomba
rail,trilho
rat,rato
receipt,recibo
ring,anel
rod,vara
roof,telhado
root,raiz
sail,vela (de barco)
school,escola
scissors,tesoura
screw,parafuso
seed,semente
sheep,ovelha
shelf,prateleira
ship,navio
shirt,camisa
shoe,sapato
skin,pele
skirt,saia
snake,cobra
sock,meia
spade,pá
sponge,esponja
spoon,colher
spring,mola
square,quadrado
stamp,selo
star,estrela
station,estação
stem,caule
stick,graveto
stocking,meia-calça
stomach,estômago
store,loja
street,rua
sun,sol
table,mesa
tail,rabo
thread,linha (fio)
throat,garganta
thumb,polegar
ticket,bilhete
toe,dedo do pé
tongue,língua
tooth,dente
town,cidade
train,trem
tray,bandeja
tree,árvore
trousers,calça
umbrella,guarda-chuva
wall,parede
watch,relógio de pulso
wheel,roda
whip,chicote
whistle,apito
window,janela
wing,asa
wire,fio
worm,minhoca